,RSS,adjKey,adjVal,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
104,2.31608,kTSC2Phos,7.594,0.706693,4.17453,0.078888,23.866,65.4265,4.14202,5.36534,96.6707,94.59200000000001,0.0105408,89.6753,66.8041,2.8978200000000003,4.10935,0.013604499999999999,100.0,428.99113520000003
105,2.31608,kTSC2Phos,7.594,0.706693,4.17453,0.078888,23.866,65.4265,4.14202,5.36534,96.6707,94.59200000000001,0.0105408,89.6753,66.8041,2.8978200000000003,4.10935,0.013604499999999999,100.0,428.99113520000003
106,2.31608,kTSC2Phos,7.594,0.706693,4.17453,0.078888,23.866,65.4265,4.14202,5.36534,96.6707,94.59200000000001,0.0105408,89.6753,66.8041,2.8978200000000003,4.10935,0.013604499999999999,100.0,428.99113520000003
107,2.31608,kTSC2Phos,7.594,0.706693,4.17453,0.078888,23.866,65.4265,4.14202,5.36534,96.6707,94.59200000000001,0.0105408,89.6753,66.8041,2.8978200000000003,4.10935,0.013604499999999999,100.0,428.99113520000003
108,2.31608,kTSC2Phos,7.594,0.706693,4.17453,0.078888,23.866,65.4265,4.14202,5.36534,96.6707,94.59200000000001,0.0105408,89.6753,66.8041,2.8978200000000003,4.10935,0.013604499999999999,100.0,428.99113520000003
109,2.31608,kTSC2Phos,7.594,0.706693,4.17453,0.078888,23.866,65.4265,4.14202,5.36534,96.6707,94.59200000000001,0.0105408,89.6753,66.8041,2.8978200000000003,4.10935,0.013604499999999999,100.0,428.99113520000003
110,2.23322,kIRS1Inact,0.132,0.387765,4.04856,0.071364,26.805,84.8953,4.8056800000000015,0.62960172,13.5104,100.0,0.01,67.5887,46.0371,1.89978,4.59258,0.0161824,94.0051,56.9167
111,2.23322,kIRS1Inact,0.132,0.387765,4.04856,0.071364,26.805,84.8953,4.8056800000000015,0.62960172,13.5104,100.0,0.01,67.5887,46.0371,1.89978,4.59258,0.0161824,94.0051,56.9167
112,2.23322,kIRS1Inact,0.132,0.387765,4.04856,0.071364,26.805,84.8953,4.8056800000000015,0.62960172,13.5104,100.0,0.01,67.5887,46.0371,1.89978,4.59258,0.0161824,94.0051,56.9167
113,2.23322,kIRS1Inact,0.132,0.387765,4.04856,0.071364,26.805,84.8953,4.8056800000000015,0.62960172,13.5104,100.0,0.01,67.5887,46.0371,1.89978,4.59258,0.0161824,94.0051,56.9167
114,2.23322,kIRS1Inact,0.132,0.387765,4.04856,0.071364,26.805,84.8953,4.8056800000000015,0.62960172,13.5104,100.0,0.01,67.5887,46.0371,1.89978,4.59258,0.0161824,94.0051,56.9167
115,2.23322,kIRS1Inact,0.132,0.387765,4.04856,0.071364,26.805,84.8953,4.8056800000000015,0.62960172,13.5104,100.0,0.01,67.5887,46.0371,1.89978,4.59258,0.0161824,94.0051,56.9167
116,2.23322,kIRS1Inact,0.132,0.387765,4.04856,0.071364,26.805,84.8953,4.8056800000000015,0.62960172,13.5104,100.0,0.01,67.5887,46.0371,1.89978,4.59258,0.0161824,94.0051,56.9167
